pod,queue_sec,jct_sec
ph-application-1508364558011-43965-mg5tx,624.0,645.0
ph-application-1508364558011-43967-vgdwz,623.0,689.0
ph-application-1508364558011-43983-nv4k8,625.0,651.0
ph-application-1508364558011-43986-58nnz,627.0,643.0
ph-application-1508364558011-43992-zxcb4,642.0,673.0
ph-application-1508364558011-44042-b8glq,644.0,650.0
ph-application-1508364558011-44077-46mj5,650.0,656.0
ph-application-1508364558011-44091-zrjmm,648.0,665.0
ph-application-1508364558011-44097-84zqz,646.0,667.0
ph-application-1508364558011-44166-55fp9,649.0,670.0
ph-application-1508364558011-44208-5skcb,653.0,684.0
ph-application-1508364558011-44223-bdmwg,661.0,667.0
ph-application-1508364558011-44225-gjj8n,674.0,677.0
ph-application-1508364558011-44247-87lbc,672.0,679.0
ph-application-1508364558011-44259-xf27v,671.0,683.0
ph-application-1508364558011-44278-mzsqx,668.0,681.0
ph-application-1508364558011-44322-t5f55,667.0,679.0
ph-application-1508364558011-44323-v6ks6,665.0,677.0
ph-application-1508364558011-44367-2m2wh,677.0,688.0
ph-application-1508364558011-44385-m5rhw,675.0,691.0
ph-application-1508364558011-44399-v2lqn,673.0,684.0
ph-application-1508364558011-44473-47gkd,675.0,687.0
ph-application-1508364558011-44480-sm69v,692.0,698.0
ph-application-1508364558011-44524-tqs6z,672.0,678.0
ph-application-1508364558011-44573-zz6d7,670.0,681.0
ph-application-1508364558011-44581-rq8jf,668.0,679.0
ph-application-1508364558011-44605-v84bw,679.0,695.0
ph-application-1508364558011-44634-b9497,677.0,688.0
ph-application-1508364558011-44636-ltvpw,675.0,691.0
ph-application-1508364558011-44653-wjmqg,1779.0,1791.0
ph-application-1508364558011-44655-s6sms,1777.0,1784.0
ph-application-1508364558011-44676-88z9x,1775.0,1792.0
ph-application-1508364558011-44716-tn2bw,1773.0,1785.0
ph-application-1508364558011-44846-5lxv9,1771.0,1773.0
ph-application-1508364558011-44851-8pzt4,1774.0,1780.0
ph-application-1508364558011-44913-kfb8m,1772.0,1784.0
ph-application-1508364558011-44942-jwmxl,1770.0,1792.0
ph-application-1508364558011-44951-mtnbs,1768.0,1775.0
