pod,queue_sec,jct_sec
ph-application-1508364558011-10504-z8kr6,17.0,29.0
ph-application-1508364558011-10628-v9wpt,18.0,29.0
ph-application-1508364558011-11050-pbt76,1812.0,1813.0
ph-application-1508364558011-11383-fbzmc,3.0,14.0
ph-application-1508364558011-11467-5llkn,6.0,17.0
ph-application-1508364558011-11653-t7wff,6.0,18.0
ph-application-1508364558011-11688-sx94v,5.0,17.0
ph-application-1508364558011-11825-b6bbd,3.0,15.0
ph-application-1508364558011-12215-hnwp8,6.0,18.0
ph-application-1508364558011-12238-f4tjc,6.0,18.0
ph-application-1508364558011-12399-c2g8h,6.0,17.0
ph-application-1508364558011-12466-fdgbs,11.0,22.0
ph-application-1508364558011-12878-dzg7z,407.0,418.0
ph-application-1508364558011-12968-vbxtm,9.0,20.0
ph-application-1508364558011-12997-7wsmg,9.0,20.0
ph-application-1508364558011-1305-bkmz2,118.0,130.0
ph-application-1508364558011-13117-52mvl,5.0,17.0
ph-application-1508364558011-13246-n8h5h,8.0,20.0
ph-application-1508364558011-13268-5pkcd,1076.0,1087.0
ph-application-1508364558011-13346-4xnd8,5.0,17.0
ph-application-1508364558011-13460-lvgkg,1119.0,1121.0
ph-application-1508364558011-13613-jrt4r,5.0,16.0
ph-application-1508364558011-13628-s62vt,10.0,21.0
ph-application-1508364558011-13900-mzb9s,1120.0,1121.0
ph-application-1508364558011-13952-lrkhc,7.0,18.0
ph-application-1508364558011-13990-rtgmj,6.0,18.0
ph-application-1508364558011-14119-tv7mh,11.0,23.0
ph-application-1508364558011-14122-d4qwh,11.0,23.0
ph-application-1508364558011-1424-4gdgg,1903.0,1905.0
ph-application-1508364558011-14341-vgxbj,9.0,21.0
ph-application-1508364558011-14498-5wqpk,1120.0,1122.0
ph-application-1508364558011-14620-6vwfs,1007.0,1008.0
ph-application-1508364558011-14969-s5xbm,4.0,15.0
ph-application-1508364558011-14972-xcffx,9.0,20.0
ph-application-1508364558011-14987-mxr69,9.0,20.0
ph-application-1508364558011-14996-fjp4h,9.0,21.0
ph-application-1508364558011-15015-6w5jm,8.0,10.0
ph-application-1508364558011-15263-bpk5f,13.0,25.0
ph-application-1508364558011-15504-8rmgj,8.0,10.0
ph-application-1508364558011-15538-zqpzf,8.0,20.0
ph-application-1508364558011-15570-hbm2x,1110.0,1111.0
ph-application-1508364558011-15611-5d4h6,6.0,17.0
ph-application-1508364558011-15820-jmklx,1111.0,1112.0
ph-application-1508364558011-15870-zpxnq,7.0,8.0
ph-application-1508364558011-15896-qh249,6.0,17.0
ph-application-1508364558011-16113-xqrrp,8.0,19.0
ph-application-1508364558011-16134-vnrht,8.0,20.0
ph-application-1508364558011-16219-k6v5f,23.0,34.0
ph-application-1508364558011-16304-hqs82,6.0,18.0
ph-application-1508364558011-16339-n92v8,5.0,17.0
ph-application-1508364558011-16356-r54rd,10.0,22.0
ph-application-1508364558011-16517-kbxbz,9.0,21.0
ph-application-1508364558011-1678-nzfdd,118.0,129.0
ph-application-1508364558011-16849-tb95g,4.0,15.0
ph-application-1508364558011-17007-zt5nw,3.0,14.0
ph-application-1508364558011-17014-pbqgc,13.0,15.0
ph-application-1508364558011-17064-dxpzb,11.0,23.0
ph-application-1508364558011-17108-kpgn8,12.0,23.0
ph-application-1508364558011-17267-6x9jg,15.0,26.0
ph-application-1508364558011-17339-lszrc,14.0,15.0
ph-application-1508364558011-17632-v79rm,14.0,26.0
ph-application-1508364558011-17655-9zlqv,14.0,26.0
ph-application-1508364558011-17904-5dxx2,10.0,22.0
ph-application-1508364558011-17945-sv7xz,10.0,22.0
ph-application-1508364558011-1804-pxgkt,192.0,203.0
ph-application-1508364558011-18258-kp2w8,14.0,26.0
ph-application-1508364558011-18327-rw49x,15.0,26.0
ph-application-1508364558011-18345-rzmcq,20.0,31.0
ph-application-1508364558011-18419-t7h64,25.0,36.0
ph-application-1508364558011-18482-j9cpq,24.0,36.0
ph-application-1508364558011-18486-bdxqk,984.0,996.0
ph-application-1508364558011-18540-776tp,29.0,41.0
ph-application-1508364558011-18572-j5sdv,30.0,41.0
ph-application-1508364558011-1862-wxx9h,218.0,229.0
ph-application-1508364558011-18789-qj7v5,38.0,50.0
ph-application-1508364558011-1883-2qcwk,223.0,235.0
ph-application-1508364558011-18922-znvj2,1717.0,1728.0
ph-application-1508364558011-19128-dv4h7,32.0,44.0
ph-application-1508364558011-1934-2vqhl,223.0,234.0
ph-application-1508364558011-19382-hs5gh,30.0,41.0
ph-application-1508364558011-19441-s2486,29.0,40.0
ph-application-1508364558011-19579-zrzcj,32.0,43.0
ph-application-1508364558011-19665-9btwd,33.0,45.0
ph-application-1508364558011-19797-cm6g6,32.0,44.0
ph-application-1508364558011-20195-5k7fn,29.0,41.0
ph-application-1508364558011-20217-nt8tx,30.0,41.0
ph-application-1508364558011-20330-2xszb,26.0,37.0
ph-application-1508364558011-20432-lprsn,29.0,40.0
ph-application-1508364558011-20626-lg7px,24.0,35.0
ph-application-1508364558011-20627-f45m6,29.0,40.0
ph-application-1508364558011-20810-thrpj,29.0,41.0
ph-application-1508364558011-21060-g629b,25.0,36.0
ph-application-1508364558011-21125-x8sll,22.0,33.0
ph-application-1508364558011-21187-mb2g6,21.0,32.0
ph-application-1508364558011-21457-cnzv6,18.0,30.0
ph-application-1508364558011-21507-dw5zm,23.0,34.0
