job,arrival,wall
ph-application-1508364558011-3214,739.0,739.0
ph-application-1508364558011-3234,739.0,739.0
ph-application-1508364558011-3305,739.1,739.1
ph-application-1508364558011-3379,739.2,739.2
ph-application-1508364558011-3399,739.3,739.3
ph-application-1508364558011-3474,739.4,739.4
ph-application-1508364558011-3756,740.0,740.0
ph-application-1508364558011-3899,740.6,740.6
ph-application-1508364558011-3972,740.7,740.7
ph-application-1508364558011-4002,740.9,740.9
ph-application-1508364558011-4073,741.8,741.9
ph-application-1508364558011-4296,742.0,742.0
ph-application-1508364558011-4497,744.2,744.2
ph-application-1508364558011-4613,750.7,750.7
ph-application-1508364558011-4756,750.8,750.8
ph-application-1508364558011-4781,750.8,750.8
ph-application-1508364558011-4786,750.8,750.8
ph-application-1508364558011-4862,750.9,750.9
ph-application-1508364558011-4900,750.9,750.9
ph-application-1508364558011-4957,751.6,751.6
ph-application-1508364558011-5058,751.9,751.9
ph-application-1508364558011-5137,751.9,751.9
ph-application-1508364558011-5157,751.9,751.9
ph-application-1508364558011-5266,752.0,752.0
ph-application-1508364558011-5333,752.1,752.1
ph-application-1508364558011-5383,753.0,753.0
ph-application-1508364558011-5530,755.4,755.4
ph-application-1508364558011-5717,755.5,755.5
ph-application-1508364558011-5846,755.5,755.5
ph-application-1508364558011-5978,758.4,758.4
ph-application-1508364558011-6105,764.0,764.0
ph-application-1508364558011-6292,766.3,766.4
ph-application-1508364558011-6325,767.1,767.1
ph-application-1508364558011-6361,768.7,768.7
ph-application-1508364558011-6478,770.9,770.9
ph-application-1508364558011-6862,773.2,773.2
ph-application-1508364558011-6917,773.3,773.3
ph-application-1508364558011-7039,778.5,778.5
ph-application-1508364558011-7084,779.3,779.3
ph-application-1508364558011-7099,780.2,780.2
ph-application-1508364558011-7272,780.3,780.3
ph-application-1508364558011-7463,780.3,780.3
ph-application-1508364558011-7516,782.8,782.8
ph-application-1508364558011-7567,783.9,783.9
ph-application-1508364558011-7604,784.0,784.0
ph-application-1508364558011-7749,785.2,785.2
ph-application-1508364558011-7786,785.2,785.2
ph-application-1508364558011-7973,786.7,786.7
ph-application-1508364558011-8134,787.2,787.2
ph-application-1508364558011-8271,787.2,787.2
ph-application-1508364558011-8469,787.5,787.5
ph-application-1508364558011-8517,787.5,787.5
ph-application-1508364558011-8651,787.6,787.6
ph-application-1508364558011-8774,787.6,787.6
ph-application-1508364558011-8786,788.8,788.8
ph-application-1508364558011-8884,791.7,791.7
ph-application-1508364558011-9018,791.7,791.7
ph-application-1508364558011-9304,795.9,795.9
ph-application-1508364558011-9349,795.9,795.9
ph-application-1508364558011-9453,796.0,796.0
ph-application-1508364558011-9531,796.0,796.0
ph-application-1508364558011-9584,796.0,796.0
ph-application-1508364558011-9688,797.4,797.4
ph-application-1508364558011-9748,797.4,797.4
ph-application-1508364558011-9899,797.5,797.5
ph-application-1508364558011-9898,797.5,797.5
ph-application-1508364558011-9994,797.5,797.5
ph-application-1508364558011-10089,797.6,797.6
ph-application-1508364558011-10114,797.6,797.6
ph-application-1508364558011-10192,797.6,797.6
ph-application-1508364558011-10229,797.6,797.6
ph-application-1508364558011-10254,797.6,797.6
ph-application-1508364558011-10421,797.7,797.7
ph-application-1508364558011-10474,798.0,798.0
ph-application-1508364558011-10504,798.0,798.0
ph-application-1508364558011-10628,798.1,798.1
ph-application-1508364558011-11050,813.0,813.0
ph-application-1508364558011-11383,817.8,817.8
ph-application-1508364558011-11467,820.6,820.6
ph-application-1508364558011-11653,820.7,820.7
ph-application-1508364558011-11688,820.8,820.8
ph-application-1508364558011-11825,823.6,823.6
ph-application-1508364558011-12215,824.8,824.8
ph-application-1508364558011-12238,824.9,824.9
ph-application-1508364558011-12399,826.2,826.2
ph-application-1508364558011-12466,826.2,826.2
ph-application-1508364558011-12878,829.7,829.7
ph-application-1508364558011-12968,833.2,833.2
ph-application-1508364558011-12997,833.3,833.3
ph-application-1508364558011-13117,837.0,837.0
ph-application-1508364558011-13246,839.2,839.3
ph-application-1508364558011-13268,839.3,839.3
ph-application-1508364558011-13346,842.6,842.6
ph-application-1508364558011-13460,846.2,846.2
ph-application-1508364558011-13613,848.2,848.2
ph-application-1508364558011-13628,848.3,848.3
ph-application-1508364558011-13900,851.0,851.0
ph-application-1508364558011-13952,851.4,851.4
ph-application-1508364558011-13990,851.8,851.8
ph-application-1508364558011-14119,852.5,852.5
ph-application-1508364558011-14122,852.5,852.5
ph-application-1508364558011-14341,854.1,854.1
ph-application-1508364558011-14498,856.7,856.7
ph-application-1508364558011-14620,858.4,858.4
ph-application-1508364558011-14969,865.4,865.5
ph-application-1508364558011-14972,865.4,865.5
ph-application-1508364558011-14987,865.5,865.5
ph-application-1508364558011-14996,865.5,865.5
ph-application-1508364558011-15015,865.8,865.9
ph-application-1508364558011-15263,866.0,866.0
ph-application-1508364558011-15504,871.4,871.4
ph-application-1508364558011-15538,871.7,871.7
ph-application-1508364558011-15570,872.5,872.5
ph-application-1508364558011-15611,874.0,874.0
ph-application-1508364558011-15820,877.4,877.5
ph-application-1508364558011-15870,878.5,878.5
ph-application-1508364558011-15896,879.0,879.1
ph-application-1508364558011-16113,882.5,882.5
ph-application-1508364558011-16134,882.5,882.5
ph-application-1508364558011-16219,883.5,883.5
ph-application-1508364558011-16304,884.4,884.4
ph-application-1508364558011-16339,884.8,884.8
ph-application-1508364558011-16356,884.8,884.8
ph-application-1508364558011-16517,886.1,886.1
ph-application-1508364558011-16849,892.5,892.5
ph-application-1508364558011-17007,898.0,898.0
ph-application-1508364558011-17014,898.6,898.6
ph-application-1508364558011-17064,900.2,900.2
ph-application-1508364558011-17108,900.3,900.3
ph-application-1508364558011-17267,902.2,902.2
ph-application-1508364558011-17339,903.0,903.0
ph-application-1508364558011-17632,908.0,908.0
ph-application-1508364558011-17655,908.0,908.0
ph-application-1508364558011-17904,912.2,912.2
ph-application-1508364558011-17945,912.5,912.5
ph-application-1508364558011-18258,913.3,913.3
ph-application-1508364558011-18327,913.5,913.5
ph-application-1508364558011-18345,913.6,913.6
ph-application-1508364558011-18419,913.7,913.7
ph-application-1508364558011-18482,914.2,914.2
ph-application-1508364558011-18486,914.2,914.2
ph-application-1508364558011-18540,914.5,914.5
ph-application-1508364558011-18572,914.6,914.6
ph-application-1508364558011-18789,916.0,916.0
ph-application-1508364558011-18922,918.8,918.8
ph-application-1508364558011-19128,922.3,922.3
ph-application-1508364558011-19382,930.7,930.7
ph-application-1508364558011-19441,930.9,930.9
ph-application-1508364558011-19579,933.3,933.3
ph-application-1508364558011-19665,936.9,936.9
ph-application-1508364558011-19797,938.7,938.7
ph-application-1508364558011-20195,941.3,941.3
ph-application-1508364558011-20217,941.3,941.3
ph-application-1508364558011-20330,945.2,945.2
ph-application-1508364558011-20432,947.5,947.5
ph-application-1508364558011-20626,952.5,952.5
ph-application-1508364558011-20627,952.5,952.5
ph-application-1508364558011-20810,957.6,957.6
ph-application-1508364558011-21060,962.4,962.4
ph-application-1508364558011-21125,965.4,965.4
ph-application-1508364558011-21187,966.0,966.0
ph-application-1508364558011-21457,969.2,969.2
ph-application-1508364558011-21507,969.3,969.3
ph-application-1508364558011-21519,969.3,969.3
ph-application-1508364558011-21596,971.3,971.3
ph-application-1508364558011-21771,983.0,983.0
ph-application-1508364558011-21931,989.4,989.4
ph-application-1508364558011-21955,991.4,991.4
ph-application-1508364558011-22036,998.0,998.0
ph-application-1508364558011-22085,1002.6,1002.6
ph-application-1508364558011-22140,1010.6,1010.6
ph-application-1508364558011-22147,1011.1,1011.1
ph-application-1508364558011-22358,1026.1,1026.1
ph-application-1508364558011-22849,1049.0,1049.0
ph-application-1508364558011-22938,1053.7,1053.7
ph-application-1508364558011-22964,1056.1,1056.1
ph-application-1508364558011-22991,1057.4,1057.4
ph-application-1508364558011-23044,1062.8,1062.8
ph-application-1508364558011-23228,1071.6,1071.6
ph-application-1508364558011-23290,1072.8,1072.8
ph-application-1508364558011-23343,1075.2,1075.2
ph-application-1508364558011-23669,1076.1,1076.1
ph-application-1508364558011-23959,1076.4,1076.4
ph-application-1508364558011-24183,1082.2,1082.2
ph-application-1508364558011-24291,1086.1,1086.1
ph-application-1508364558011-24333,1088.3,1088.3
ph-application-1508364558011-24422,1092.9,1092.9
ph-application-1508364558011-24453,1093.4,1093.4
ph-application-1508364558011-24538,1098.7,1098.7
ph-application-1508364558011-24584,1100.4,1100.4
ph-application-1508364558011-24678,1101.4,1101.4
ph-application-1508364558011-24780,1102.1,1102.1
ph-application-1508364558011-24799,1102.1,1102.1
ph-application-1508364558011-24836,1102.2,1102.2
ph-application-1508364558011-24905,1102.5,1102.5
ph-application-1508364558011-24958,1102.6,1102.6
ph-application-1508364558011-25002,1102.7,1102.7
ph-application-1508364558011-25096,1103.0,1103.0
ph-application-1508364558011-25153,1103.2,1103.2
ph-application-1508364558011-25332,1104.0,1104.0
ph-application-1508364558011-25382,1104.5,1104.5
ph-application-1508364558011-25442,1104.7,1104.7
ph-application-1508364558011-25518,1104.9,1104.9
ph-application-1508364558011-25522,1104.9,1104.9
ph-application-1508364558011-25706,1109.0,1109.0
ph-application-1508364558011-25739,1110.2,1110.2
ph-application-1508364558011-25971,1117.2,1117.2
ph-application-1508364558011-26098,1124.0,1124.0
ph-application-1508364558011-26158,1125.8,1125.8
ph-application-1508364558011-26356,1128.9,1128.9
ph-application-1508364558011-26380,1129.0,1129.0
