job_id,arrival_time,duration,gpu_count,gpu_type,preemptible,workload_kind,priority,source_trace
ph-application_1506638472019_8740,305.317,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_8799,305.46666666666664,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_8834,305.55533333333335,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_8853,305.60966666666667,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_8936,305.86266666666666,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_9265,306.7543333333333,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_9329,306.926,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_9471,307.3106666666667,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_9682,307.95,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_9793,308.64366666666666,8,8,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_9874,311.18066666666664,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_9949,311.38166666666666,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_9970,311.44266666666664,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_9980,311.477,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_10000,311.52233333333334,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_10307,320.021,8,1,NVIDIA-B200,True,training,0,philly
ph-application_1506638472019_10403,322.83433333333335,6,1,NVIDIA-B200,True,inference,0,philly
ph-application_1506638472019_10573,325.8666666666667,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_10607,326.668,6,8,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_10612,326.8066666666667,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_10647,327.2296666666667,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_10771,327.4866666666667,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_10885,327.7606666666667,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_11079,328.13166666666666,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_11086,328.1483333333333,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_11279,328.744,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_11414,329.0853333333333,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_11465,329.20633333333336,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_11582,329.47866666666664,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_11593,329.52633333333335,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_11943,330.66,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_12443,333.8063333333333,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_12507,334.84833333333336,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_12527,334.895,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_12560,334.9603333333333,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_12776,346.094,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_12960,350.4823333333333,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_13119,351.49766666666665,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_13171,351.59133333333335,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_13217,351.68066666666664,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_13220,351.6856666666667,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_13281,351.88,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_13375,352.00466666666665,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_13501,352.135,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_13508,352.14433333333335,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_13651,352.558,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_13970,353.1186666666667,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_14055,353.26366666666667,6,4,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_14098,354.1723333333333,6,4,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_14147,355.4066666666667,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_14291,364.4066666666667,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_14298,365.20666666666665,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_14320,365.809,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_14339,366.55033333333336,8,1,NVIDIA-B200,True,training,0,philly
ph-application_1506638472019_14452,375.30466666666666,8,2,NVIDIA-B200,True,training,0,philly
ph-application_1506638472019_14789,388.3743333333333,8,4,NVIDIA-B200,True,training,0,philly
ph-application_1506638472019_14880,393.333,8,2,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_14920,394.0183333333333,7.185,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_15377,400.63166666666666,6,1,NVIDIA-B200,True,training,0,philly
ph-application_1506638472019_15557,404.6,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_15909,406.0126666666667,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_15938,406.126,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_16123,416.29533333333336,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_16210,416.65,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_16253,416.8066666666667,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_16305,417.01366666666667,6,1,NVIDIA-B200,True,training,0,philly
ph-application_1506638472019_16402,417.426,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_16690,420.12666666666667,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_16729,420.28,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_16900,420.92,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_16926,421.02066666666667,6,1,NVIDIA-B200,False,training,0,philly
