namespace,pod,phase,start,finish
ns-16904374776309414,instance-1576-0,Running,2023-11-08 21:15:00+09:00,2023-11-09 09:00:00+09:00
ns-16904374776309414,instance-1576-0,Running,2023-11-13 10:15:00+09:00,2023-11-14 10:15:00+09:00
ns-16904374776309414,instance-1576-0,Running,2023-11-20 09:00:00+09:00,2023-11-21 09:00:00+09:00
ns-16904374776309414,instance-1576-0,Pending,2023-11-23 16:30:00+09:00,2023-11-23 17:15:00+09:00
ns-16904374776309414,instance-1576-0,Running,2023-11-23 17:15:00+09:00,2023-11-24 16:30:00+09:00
ns-16904374776309414,instance-1576-0,Running,2023-11-24 17:00:00+09:00,2023-11-25 17:00:00+09:00
ns-16904374776309414,instance-1576-0,Pending,2023-11-27 18:15:00+09:00,2023-11-27 19:15:00+09:00
ns-16904374776309414,instance-1576-0,Running,2023-11-27 19:15:00+09:00,2023-11-28 18:15:00+09:00
ns-16904374776309414,instance-1576-0,Pending,2023-11-30 08:45:00+09:00,2023-11-30 09:15:00+09:00
ns-16904374776309414,instance-1576-0,Running,2023-11-30 09:15:00+09:00,2023-12-02 09:00:00+09:00
ns-16904374776309414,instance-1576-0,Pending,2023-12-05 13:15:00+09:00,2023-12-05 17:30:00+09:00
ns-16904374776309414,instance-1576-0,Running,2023-12-05 17:30:00+09:00,2023-12-06 13:15:00+09:00
ns-16904374776309414,instance-1576-0,Running,2023-12-11 11:15:00+09:00,2023-12-12 11:15:00+09:00
ns-16904374776309414,instance-1576-0,Running,2023-12-12 14:00:00+09:00,2023-12-13 14:00:00+09:00
ns-16904374776309414,instance-1576-0,Running,2023-12-15 10:30:00+09:00,2023-12-16 10:30:00+09:00
ns-16904374776309414,instance-1576-0,Running,2023-12-18 14:00:00+09:00,2023-12-19 14:00:00+09:00
ns-16904374776309414,instance-1576-0,Pending,2023-12-27 10:15:00+09:00,2023-12-27 10:30:00+09:00
ns-16904374776309414,instance-1576-0,Running,2023-12-27 10:30:00+09:00,2023-12-28 10:30:00+09:00
ns-16904374776309414,instance-1576-0,Running,2023-12-29 20:45:00+09:00,2023-12-30 20:45:00+09:00
ns-16904374776309414,instance-1576-0,Running,2024-01-03 09:45:00+09:00,2024-01-04 09:45:00+09:00
ns-16904374776309414,instance-1576-0,Running,2024-01-11 14:45:00+09:00,2024-01-12 14:45:00+09:00
ns-16904374776309414,instance-1576-0,Running,2024-01-30 09:45:00+09:00,2024-01-31 09:45:00+09:00
ns-16904374776309414,instance-1576-0,Pending,2024-01-31 10:30:00+09:00,2024-01-31 11:00:00+09:00
ns-16904374776309414,instance-1576-0,Running,2024-01-31 11:00:00+09:00,2024-02-01 10:30:00+09:00
