pod,queue_sec,jct_sec
ph-application-1506638472019-32362-5tx9w,83.0,95.0
ph-application-1506638472019-3240-ddd85,17.0,30.0
ph-application-1506638472019-32418-2zl9s,84.0,95.0
ph-application-1506638472019-32508-286mh,84.0,95.0
ph-application-1506638472019-32550-tdhv7,89.0,100.0
ph-application-1506638472019-32572-tnw9k,89.0,100.0
ph-application-1506638472019-32772-bh5bp,92.0,103.0
ph-application-1506638472019-32833-w8n7k,544.0,556.0
ph-application-1506638472019-33046-zmpmm,86.0,98.0
ph-application-1506638472019-33150-ntml6,83.0,95.0
ph-application-1506638472019-3329-6gmjj,18.0,30.0
ph-application-1506638472019-33435-4fmn8,80.0,92.0
ph-application-1506638472019-33537-tpcn8,79.0,91.0
ph-application-1506638472019-33570-gcwkw,79.0,91.0
ph-application-1506638472019-33722-z2hld,84.0,95.0
ph-application-1506638472019-3379-t2mdz,21.0,32.0
ph-application-1506638472019-33837-q6wcc,83.0,95.0
ph-application-1506638472019-33851-8vplt,89.0,100.0
ph-application-1506638472019-33864-ptgb6,94.0,106.0
ph-application-1506638472019-3406-4vdfd,31.0,42.0
ph-application-1506638472019-34117-bdchs,93.0,105.0
ph-application-1506638472019-34119-bd8hf,93.0,105.0
ph-application-1506638472019-34131-v5pk8,93.0,95.0
ph-application-1506638472019-34355-fn7zn,91.0,93.0
ph-application-1506638472019-34420-7tt5j,95.0,97.0
ph-application-1506638472019-34475-vt27f,95.0,107.0
ph-application-1506638472019-34532-hz9nt,94.0,106.0
ph-application-1506638472019-34620-dth5x,95.0,106.0
ph-application-1506638472019-34661-prwjj,99.0,111.0
ph-application-1506638472019-34779-w9khg,100.0,111.0
ph-application-1506638472019-34791-xrhz8,105.0,106.0
ph-application-1506638472019-34844-99kl7,104.0,115.0
ph-application-1506638472019-34874-8qs8v,104.0,115.0
ph-application-1506638472019-35113-92nrp,106.0,118.0
ph-application-1506638472019-35115-mb62r,117.0,128.0
ph-application-1506638472019-35121-5qk66,106.0,118.0
